"GO.ID";"GO.colors";"GO.Terms.GOID";"GO.Terms.TERM";"Term";"Annotated";"Significant";"Expected";"classicFisher";"GO.IC"
"GO:0046460";"yellow";"GO:0046460";"neutral lipid biosynthetic process";"neutral lipid biosynthetic process";22;2;0,29;0,03328;8,08981472999618
"GO:0046463";"yellow";"GO:0046463";"acylglycerol biosynthetic process";"acylglycerol biosynthetic process";22;2;0,29;0,03328;8,08981472999618
"GO:0046496";"turquoise";"GO:0046496";"nicotinamide nucleotide metabolic process";"nicotinamide nucleotide metabolic proces...";15;2;0,2;0,01605;8,55981835924192
"GO:0046620";"green";"GO:0046620";"regulation of organ growth";"regulation of organ growth";60;3;0,79;0,04396;7,06317594095316
"GO:0046622";"green";"GO:0046622";"positive regulation of organ growth";"positive regulation of organ growth";21;2;0,28;0,03051;8,2233461226207
"GO:0046697";"brown";"GO:0046697";"decidualization";"decidualization";17;2;0,22;0,02044;8,43465521628791
"GO:0048332";"brown";"GO:0048332";"mesoderm morphogenesis";"mesoderm morphogenesis";65;4;0,85;0,01031;7,04836085516802
"GO:0050680";"blue";"GO:0050680";"negative regulation of epithelial cell proliferation";"negative regulation of epithelial cell p...";44;3;0,58;0,01976;7,46120607057381
"GO:0050803";"blue";"GO:0050803";"regulation of synapse structure or activity";"regulation of synapse structure or activ...";267;8;3,51;0,02395;5,4687759058836
"GO:0050807";"blue";"GO:0050807";"regulation of synapse organization";"regulation of synapse organization";256;8;3,36;0,01915;5,50267745755928
"GO:0050896";"red";"GO:0050896";"response to stimulus";"response to stimulus";4056;65;53,27;0,01462;1,61495999230828
"GO:0051093";"blue";"GO:0051093";"negative regulation of developmental process";"negative regulation of developmental pro...";433;12;5,69;0,01105;4,84138010288644
"GO:0051156";"yellow";"GO:0051156";"glucose 6-phosphate metabolic process";"glucose 6-phosphate metabolic process";12;4;0,16;1,3e-05;8,78296191055613
"GO:0051270";"blue";"GO:0051270";"regulation of cellular component movement";"regulation of cellular component movemen...";489;12;6,42;0,02627;4,72972873657646
"GO:0051346";"blue";"GO:0051346";"negative regulation of hydrolase activity";"negative regulation of hydrolase activit...";97;6;1,27;0,00168;6,57652067811498
"GO:0051604";"turquoise";"GO:0051604";"protein maturation";"protein maturation";130;5;1,71;0,02797;6,23743063895169
"GO:0052547";"pink";"GO:0052547";"regulation of peptidase activity";"regulation of peptidase activity";129;6;1,69;0,00689;6,27743597356539
"GO:0052548";"pink";"GO:0052548";"regulation of endopeptidase activity";"regulation of endopeptidase activity";120;5;1,58;0,02062;6,39267123714298
"GO:0055017";"green";"GO:0055017";"cardiac muscle tissue growth";"cardiac muscle tissue growth";42;3;0,55;0,01745;7,41772095863407
"GO:0055021";"green";"GO:0055021";"regulation of cardiac muscle tissue growth";"regulation of cardiac muscle tissue grow...";32;3;0,42;0,00829;7,6569506476999
"GO:0055022";"green";"GO:0055022";"negative regulation of cardiac muscle tissue growth";"negative regulation of cardiac muscle ti...";14;2;0,18;0,01403;8,62881123072887
"GO:0055023";"green";"GO:0055023";"positive regulation of cardiac muscle tissue growth";"positive regulation of cardiac muscle ti...";15;2;0,2;0,01605;8,55981835924192
"GO:0060038";"green";"GO:0060038";"cardiac muscle cell proliferation";"cardiac muscle cell proliferation";26;2;0,34;0,04526;7,86667117868197
"GO:0060039";"brown";"GO:0060039";"pericardium development";"pericardium development";10;2;0,13;0,00718;8,96528346735008
"GO:0060043";"green";"GO:0060043";"regulation of cardiac muscle cell proliferation";"regulation of cardiac muscle cell prolif...";23;2;0,3;0,03614;7,9720316943398
"GO:0060045";"green";"GO:0060045";"positive regulation of cardiac muscle cell proliferation";"positive regulation of cardiac muscle ce...";12;2;0,16;0,01035;8,78296191055613
"GO:0060413";"brown";"GO:0060413";"atrial septum morphogenesis";"atrial septum morphogenesis";13;2;0,17;0,01213;8,49527983810435
"GO:0060419";"green";"GO:0060419";"heart growth";"heart growth";51;3;0,67;0,02909;7,24251686960898
"GO:0060420";"green";"GO:0060420";"regulation of heart growth";"regulation of heart growth";34;3;0,45;0,00981;7,60430691421448
"GO:0060421";"green";"GO:0060421";"positive regulation of heart growth";"positive regulation of heart growth";15;2;0,2;0,01605;8,55981835924192
"GO:0061041";"blue";"GO:0061041";"regulation of wound healing";"regulation of wound healing";43;3;0,56;0,01859;7,48367892642587
"GO:0061117";"green";"GO:0061117";"negative regulation of heart growth";"negative regulation of heart growth";14;2;0,18;0,01403;8,62881123072887
"GO:0065008";"blue";"GO:0065008";"regulation of biological quality";"regulation of biological quality";2029;35;26,65;0,04172;3,00737570377094
"GO:0072524";"turquoise";"GO:0072524";"pyridine-containing compound metabolic process";"pyridine-containing compound metabolic p...";22;3;0,29;0,00283;7,83388135585898
"GO:0072525";"turquoise";"GO:0072525";"pyridine-containing compound biosynthetic process";"pyridine-containing compound biosyntheti...";20;3;0,26;0,00213;7,9720316943398
"GO:0072593";"yellow";"GO:0072593";"reactive oxygen species metabolic process";"reactive oxygen species metabolic proces...";137;5;1,8;0,034;6,2505887235292
"GO:0090303";"blue";"GO:0090303";"positive regulation of wound healing";"positive regulation of wound healing";22;2;0,29;0,03328;8,17682610698581
"GO:0097066";"red";"GO:0097066";"response to thyroid hormone";"response to thyroid hormone";23;2;0,3;0,03614;8,13237434441498
"GO:0097067";"red";"GO:0097067";"cellular response to thyroid hormone stimulus";"cellular response to thyroid hormone sti...";12;2;0,16;0,01035;8,78296191055613
"GO:0097305";"red";"GO:0097305";"response to alcohol";"response to alcohol";212;7;2,78;0,02132;5,81254744498643
"GO:0097484";"green";"GO:0097484";"dendrite extension";"dendrite extension";17;2;0,22;0,02044;8,43465521628791
"GO:0098742";"blue";"GO:0098742";"cell-cell adhesion via plasma-membrane adhesion molecules";"cell-cell adhesion via plasma-membrane a...";85;5;1,12;0,00508;6,74607998329509
"GO:0098869";"blue";"GO:0098869";"cellular oxidant detoxification";"cellular oxidant detoxification";16;2;0,21;0,01819;8,49527983810435
"GO:0120180";"blue";"GO:0120180";"cell-substrate junction disassembly";"cell-substrate junction disassembly";8;2;0,11;0,00454;9,18842701866429
"GO:0120181";"blue";"GO:0120181";"focal adhesion disassembly";"focal adhesion disassembly";8;2;0,11;0,00454;9,18842701866429
"GO:0120182";"blue";"GO:0120182";"regulation of focal adhesion disassembly";"regulation of focal adhesion disassembly";8;2;0,11;0,00454;9,18842701866429
"GO:0120183";"blue";"GO:0120183";"positive regulation of focal adhesion disassembly";"positive regulation of focal adhesion di...";8;2;0,11;0,00454;9,18842701866429
"GO:0140448";"turquoise";"GO:0140448";"signaling receptor ligand precursor processing";"signaling receptor ligand precursor proc...";9;2;0,12;0,00579;8,96528346735008
"GO:0150146";"blue";"GO:0150146";"cell junction disassembly";"cell junction disassembly";17;2;0,22;0,02044;8,43465521628791
"GO:1900407";"blue";"GO:1900407";"regulation of cellular response to oxidative stress";"regulation of cellular response to oxida...";58;3;0,76;0,04038;7,19033111643841
"GO:1901135";"yellow";"GO:1901135";"carbohydrate derivative metabolic process";"carbohydrate derivative metabolic proces...";544;14;7,14;0,01145;4,46881269828533
"GO:1901605";"turquoise";"GO:1901605";"alpha-amino acid metabolic process";"alpha-amino acid metabolic process";159;6;2,09;0,01806;5,68813873435791
"GO:1901615";"yellow";"GO:1901615";"organic hydroxy compound metabolic process";"organic hydroxy compound metabolic proce...";322;13;4,23;0,00029;5,13881835028358
"GO:1901888";"blue";"GO:1901888";"regulation of cell junction assembly";"regulation of cell junction assembly";219;7;2,88;0,02493;5,75848022371615
"GO:1902884";"blue";"GO:1902884";"positive regulation of response to oxidative stress";"positive regulation of response to oxida...";10;2;0,13;0,00718;8,96528346735008
"GO:1903018";"pink";"GO:1903018";"regulation of glycoprotein metabolic process";"regulation of glycoprotein metabolic pro...";27;2;0,35;0,04847;7,90057273035765
"GO:1903510";"yellow";"GO:1903510";"mucopolysaccharide metabolic process";"mucopolysaccharide metabolic process";23;2;0,3;0,03614;7,9720316943398
"GO:1903859";"green";"GO:1903859";"regulation of dendrite extension";"regulation of dendrite extension";11;2;0,14;0,0087;8,86997328754576
"GO:2000145";"blue";"GO:2000145";"regulation of cell motility";"regulation of cell motility";440;11;5,78;0,02922;4,8979675775159
"GO:2001300";"yellow";"GO:2001300";"lipoxin metabolic process";"lipoxin metabolic process";22;2;0,29;0,03328;7,63028240061774
